ID,Directory (Internal Name),Instance Type,flags,flags PVP,Map Type,MapName,area TableID,MapDescription [A],MapDescription [H],LoadScreenID,minimapIconScale,corpse MapID,corpseX,corpseY,time Of Day Override,ExpansionID,raidOffset,maxPlayers,parentMapID,cosmeticParentMapID,timeOffset
0,Azeroth,0,16793181,8,1,Eastern Kingdoms,0,,,4,1,-1,0,0,-1,0,0,0,-1,-1,0
1,Kalimdor,0,16793181,8,1,Kalimdor,0,,,3,1,-1,0,0,-1,0,0,0,-1,-1,0
13,test,0,1555,8,2,Testing,3817,,,0,1,-1,0,0,-1,0,0,0,-1,-1,0
25,ScottTest,0,1555,8,2,Scott Test,0,,,0,1,-1,0,0,-1,0,0,0,-1,-1,0
30,PVPZone01,3,1553,8,1,Alterac Valley,0,"Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past._x000D_
_x000D_
A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).","Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past._x000D_
_x000D_
A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).",104,1,-1,0,0,-1,0,0,0,-1,-1,0
33,Shadowfang,1,1565,8,1,Shadowfang Keep,0,,,204,1,0,-230.989,1571.57,-1,0,0,10,-1,-1,0
34,StormwindJail,1,1553,8,2,Stormwind Stockade,717,,,194,1,0,-8762.38,848.0103,-1,0,0,10,-1,-1,0
35,StormwindPrison,0,1555,8,2,<unused>StormwindPrison,717,,,23,1,0,-8762.48,848.0491,-1,0,0,0,-1,-1,0
36,DeadminesInstance,1,1553,8,1,Deadmines,0,,,142,1,0,-11207.8,1681.15,-1,0,0,10,-1,-1,0
37,PVPZone02,0,1555,8,1,Azshara Crater,0,Crush the Alliance!,Defend yourself from the onslaught of the Horde!,25,1,-1,0,0,-1,0,0,0,-1,-1,0
42,Collin,0,1555,8,2,Collin's Test,0,,,0,1,-1,0,0,-1,0,0,0,-1,-1,0
43,WailingCaverns,1,1553,8,2,Wailing Caverns,718,,,143,1,1,-751.131,-2209.24,-1,0,0,10,-1,-1,0
44,Monastery,1,1555,8,2,<unused> Monastery,0,,,42,1,0,2892.413,-811.241,-1,0,0,10,-1,-1,0
47,RazorfenKraulInstance,1,1553,8,1,Razorfen Kraul,0,,,188,1,1,-4459.45,-1660.21,-1,0,0,10,-1,-1,0
48,Blackfathom,1,1553,8,2,Blackfathom Deeps,719,,,196,1,1,4249.121,748.3871,-1,0,0,10,-1,-1,0
70,Uldaman,1,1553,8,2,Uldaman,1337,,,144,1,0,-6060.18,-2955,-1,0,0,10,-1,-1,0
90,GnomeragonInstance,1,1553,8,2,Gnomeregan,721,,,193,1,0,-5162.66,931.5988,-1,0,0,10,-1,-1,0
109,SunkenTemple,1,1553,8,2,Sunken Temple,1477,,,191,1,0,-10291.7,-3987.63,-1,0,0,10,-1,-1,0
129,RazorfenDowns,1,1553,8,1,Razorfen Downs,0,,,145,1,1,-4662.88,-2535.87,-1,0,0,10,-1,-1,0
169,EmeraldDream,2,1553,8,1,Emerald Dream,0,,,0,1,-1,0,0,-1,0,0,40,-1,-1,0
189,MonasteryInstances,1,1553,8,1,Scarlet Monastery of Old,0,,,190,1,0,2892.235,-811.264,-1,0,0,10,-1,-1,0
209,TanarisInstance,1,1553,8,1,Zul'Farrak,0,,,146,1,1,-6790.58,-2891.28,-1,0,0,10,-1,-1,0
229,BlackRockSpire,1,1537,8,2,Lower Blackrock Spire,1583,,,189,1,0,-7522.53,-1233.04,-1,0,0,10,-1,-1,0
230,BlackrockDepths,1,1553,8,2,Blackrock Depths,1584,,,103,1,0,-7178.09,-928.639,-1,0,0,5,-1,-1,0
249,OnyxiaLairInstance,2,34305,8,2,Onyxia's Lair,2159,,,61,1,1,-4753.31,-3752.42,-1,0,0,40,-1,-1,0
269,CavernsOfTime,1,1553,8,1,Opening of the Dark Portal,0,,,212,1,1,-8750.83,-4193.51,-1,1,0,5,-1,-1,0
289,SchoolofNecromancy,1,1553,8,1,Scholomance OLD,0,,,102,1,0,1274.781,-2552.56,-1,0,0,5,-1,-1,0
309,Zul'gurub,1,525841,8,1,Ancient Zul'Gurub,1977,,,161,1,0,-11916.1,-1224.58,-1,0,0,20,-1,-1,0
329,Stratholme,1,1553,8,1,Stratholme,0,,,101,1,0,3392.317,-3378.48,-1,0,0,5,-1,-1,0
349,Mauradon,1,1553,8,2,Maraudon,2100,,,81,1,1,-1432.7,2924.978,-1,0,0,10,-1,-1,0
369,DeeprunTram,0,1553,8,2,Deeprun Tram,2257,,,205,1,0,-8349.22,517.348,-1,0,0,0,-1,-1,0
389,OrgrimmarInstance,1,1553,8,2,Ragefire Chasm,2437,,,195,1,1,1816.756,-4423.37,-1,0,0,10,-1,-1,0
409,MoltenCore,2,1553,8,2,Molten Core,2717,,,192,1,0,-7510.56,-1036.7,-1,0,0,40,-1,-1,0
429,DireMaul,1,1537,8,2,Dire Maul,2557,,,82,1,1,-3908.03,1130,-1,0,0,5,-1,-1,0
449,AlliancePVPBarracks,0,1553,8,2,Alliance PVP Barracks,2918,,,181,1,-1,0,0,-1,0,0,0,-1,-1,0
450,HordePVPBarracks,0,1553,8,2,Horde PVP Barracks,2917,,,182,1,-1,0,0,-1,0,0,0,-1,-1,0
451,development,0,134219359,8,1,Development Land,0,,,21,1,-1,0,0,-1,3,0,0,-1,-1,0
469,BlackwingLair,2,1553,8,1,Blackwing Lair,2677,,,141,1,0,-7663.41,-1218.67,-1,0,0,40,-1,-1,0
489,PVPZone03,3,1553,8,1,Warsong Gulch,3277,"A valley Bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and Alliance._x000D_
_x000D_
As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious._x000D_
_x000D_
Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","A valley Bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and Alliance._x000D_
_x000D_
As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious._x000D_
_x000D_
Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.",122,1,-1,0,0,-1,0,0,0,-1,-1,0
509,AhnQiraj,2,1553,8,1,Ruins of Ahn'Qiraj,3429,,,184,1,1,-8114.46,1526.366,-1,0,68400,20,-1,-1,0
